X,D,Deg
6.8,-1.27,180
7.2,-1.32,180
7.6,-1.24,180
8,-0.89,180
8.4,-0.71,180
8.8,-1.02,180
9.2,-1.38,180
9.6,-1.42,180
10,-1.26,180
10.4,-0.98,180
10.8,-0.84,180
11.2,-1.17,180
11.6,-1.3,180
12,-1.28,180
12.4,-1.28,180
12.8,-1,180
13.2,-0.71,180
13.6,-0.94,180
14,-1.18,180
14.4,-1.06,180
14.8,-0.91,180
15.2,-0.7,180
3.6,-1.66,198
4,-1.6,198
4.4,-1.34,198
4.8,-1.03,198
5.2,-0.78,198
5.6,-0.65,198
6,-0.74,198
6.4,-0.92,198
6.8,-0.92,198
7.2,-0.8,198
7.6,-0.64,198
8,-0.7,198
8.4,-1.13,198
8.8,-1.36,198
9.2,-1.28,198
9.6,-1.25,198
10,-1.05,198
10.4,-0.83,198
10.8,-0.68,198
11.2,-0.83,198
11.6,-1.12,198
12,-1,198
12.4,-0.78,198
12.8,-0.66,198
13.2,-1.05,198
13.6,-1.26,198
14,-1.09,198
14.4,-0.98,198
14.8,-0.8,198
15.2,-0.63,198
3.6,-1.45,216
4,-1.38,216
4.4,-1.19,216
4.8,-0.94,216
5.2,-0.75,216
5.6,-0.64,216
6,-0.67,216
6.4,-0.66,216
6.8,-0.54,216
7.2,-0.52,216
7.6,-0.69,216
8,-1.06,216
8.4,-1.25,216
8.8,-1.26,216
9.2,-1.18,216
9.6,-1.1,216
10,-0.98,216
10.4,-0.8,216
10.8,-0.68,216
11.2,-0.73,216
11.6,-0.68,216
12,-0.46,216
12.4,-0.55,216
12.8,-0.94,216
13.2,-1.2,216
13.6,-1.18,216
14,-1.04,216
14.4,-0.97,216
14.8,-0.81,216
15.2,-0.61,216
3.6,-1.5,234
4,-1.41,234
4.4,-1.2,234
4.8,-0.93,234
5.2,-0.68,234
5.6,-0.51,234
6,-0.4,234
6.4,-0.35,234
6.8,-0.41,234
7.2,-0.56,234
7.6,-0.75,234
8,-0.92,234
8.4,-1.08,234
8.8,-1.21,234
9.2,-1.27,234
9.6,-1.19,234
10,-0.99,234
10.4,-0.74,234
10.8,-0.56,234
11.2,-0.43,234
11.6,-0.34,234
12,-0.45,234
12.4,-0.66,234
12.8,-0.88,234
13.2,-1.02,234
13.6,-1.12,234
14,-1.18,234
14.4,-1.11,234
14.8,-0.87,234
15.2,-0.59,234
3.6,-1.54,252
4,-1.43,252
4.4,-1.21,252
4.8,-0.94,252
5.2,-0.68,252
5.6,-0.51,252
6,-0.42,252
6.4,-0.38,252
6.8,-0.4,252
7.2,-0.48,252
7.6,-0.67,252
8,-0.87,252
8.4,-1.07,252
8.8,-1.25,252
9.2,-1.33,252
9.6,-1.25,252
10,-1.02,252
10.4,-0.74,252
10.8,-0.54,252
11.2,-0.42,252
11.6,-0.39,252
12,-0.42,252
12.4,-0.55,252
12.8,-0.75,252
13.2,-0.96,252
13.6,-1.16,252
14,-1.25,252
14.4,-1.16,252
14.8,-0.91,252
15.2,-0.59,252
3.6,-1.77,270
4,-1.62,270
4.4,-1.32,270
4.8,-0.98,270
5.2,-0.69,270
5.6,-0.51,270
6,-0.43,270
6.4,-0.39,270
6.8,-0.4,270
7.2,-0.48,270
7.6,-0.65,270
8,-0.88,270
8.4,-1.13,270
8.8,-1.39,270
9.2,-1.51,270
9.6,-1.41,270
10,-1.09,270
10.4,-0.75,270
10.8,-0.54,270
11.2,-0.43,270
11.6,-0.4,270
12,-0.41,270
12.4,-0.52,270
